First,Last,Year,Height,Weight,Score
Isaiah,Bagnah,2023,77,245,0.8600
Jackson,Cravens,2023,75,285,0.8700
Wyatt,Dawe,2023,74,280,0.8400
Jake,Eichorn,2023,77,285,0.8500
Nick,Evers,2023,75,186,0.8900
Ian,Fitzgerald,2023,77,299,0.8600
Dylan,Flowers,2023,70,175,0.8500
Kamden,Garrett,2023,71,175,0.8500
Justin,Kirkland,2023,76,295,0.8800
Weylin,Lapuaho,2023,76,295,0.8500
Darius,Lassiter,2023,75,200,0.8600
Treven,Ma'ae,2023,76,240,0.8700
Paul,Maile,2023,75,250,0.8800
Moliki,Matavao,2023,78,240,0.8900
Simi,Moala,2023,79,312,0.8200
Daniyel,Ngata,2023,69,195,0.8800
Drew,Pyne,2023,72,194,0.8800
Kedon,Slovis,2023,74,200,0.8900
Deion,Smith,2023,71,177,0.8600
Grant,Starck,2023,77,280,0.8800
AJ,Vongphachanh,2023,75,230,0.8800
Bram,Walden,2023,76,270,0.8900
Savion,Washington,2023,80,340,0.8800
Gerry,Bohanon,2024,75,226,0.8500
Treyson,Bourguet,2024,74,215,0.8700
Marque,Collins,2024,72,170,0.8600
McCae,Hillstead,2024,70,185,0.8500
Isaiah,Jatta,2024,78,300,0.8400
Austin,Leausa,2024,77,310,0.8600
Tausili,Akana,2025,76,220,0.8500
Max,Alford,2025,73,245,0.8300
Bear,Bachmeier,2025,74,225,0.8500
Andrew,Gentry,2025,79,327,0.8600
CJ,Jacobsen,2025,76,235,0.8400
Justin,Kirkland,2025,75,345,0.8500
Keayen,Nead,2025,77,262,0.8100
Alvin,Puefua,2025,76,325,0.8300
Anisi,Purcell,2025,75,266,0.8300
Carsen,Ryan,2025,76,256,0.8700
Kyle,Sfarcioc,2025,76,295,0.8600
Tre,Spivey,2025,76,217,0.8700
Dijon,Stanley,2025,72,185,0.8400
Keanu,Tanuvasa,2025,76,301,0.8600
Jake,Clifton,2026,74,222,0.8500
Johntay,Cook,2026,72,198,0.8700
Paki,Finau,2026,77,310,0.8700
Kyler,Kasper,2026,78,212,0.8600
Roger,Saleapaga,2026,76,245,0.8800
Jr,Sia,2026,77,325,0.8500
Smith,Snowden,2026,70,185,0.9300
Jayven,Williams,2026,74,185,0.8500
Zak,Yamauchi,2026,76,325,0.8600
